sep=;
time;model_id;model_name;port_name;data
0;1;blinky;;Status: 0, sigma: 0.5
0;2;generator;;Status: 0
0.5;1;blinky;out;0
0.5;1;blinky;;Status: 1, sigma: 0.5
1;1;blinky;out;1
1;1;blinky;;Status: 0, sigma: 0.5
1.5;1;blinky;out;0
1.5;1;blinky;;Status: 1, sigma: 0.5
2;1;blinky;out;1
2;1;blinky;;Status: 0, sigma: 0.5
2.5;1;blinky;out;0
2.5;1;blinky;;Status: 1, sigma: 0.5
3;1;blinky;out;1
3;1;blinky;;Status: 0, sigma: 0.5
3.5;1;blinky;out;0
3.5;1;blinky;;Status: 1, sigma: 0.5
4;1;blinky;out;1
4;1;blinky;;Status: 0, sigma: 0.5
4.5;1;blinky;out;0
4.5;1;blinky;;Status: 1, sigma: 0.5
5;1;blinky;out;1
5;1;blinky;;Status: 0, sigma: 0.5
5.5;1;blinky;out;0
5.5;1;blinky;;Status: 1, sigma: 0.5
6;1;blinky;out;1
6;1;blinky;;Status: 0, sigma: 0.5
6.5;1;blinky;out;0
6.5;1;blinky;;Status: 1, sigma: 0.5
7;1;blinky;out;1
7;1;blinky;;Status: 0, sigma: 0.5
7.5;1;blinky;out;0
7.5;1;blinky;;Status: 1, sigma: 0.5
8;1;blinky;out;1
8;1;blinky;;Status: 0, sigma: 0.5
8.5;1;blinky;out;0
8.5;1;blinky;;Status: 1, sigma: 0.5
9;1;blinky;out;1
9;1;blinky;;Status: 0, sigma: 0.5
9.5;1;blinky;out;0
9.5;1;blinky;;Status: 1, sigma: 0.5
10;1;blinky;out;1
10;1;blinky;;Status: 0, sigma: 0.5
10.5;1;blinky;out;0
10.5;1;blinky;;Status: 1, sigma: 0.5
11;1;blinky;out;1
11;1;blinky;;Status: 0, sigma: 0.5
11.5;1;blinky;out;0
11.5;1;blinky;;Status: 1, sigma: 0.5
12;1;blinky;out;1
12;1;blinky;;Status: 0, sigma: 0.5
12.5;1;blinky;out;0
12.5;1;blinky;;Status: 1, sigma: 0.5
13;1;blinky;out;1
13;1;blinky;;Status: 0, sigma: 0.5
13.5;1;blinky;out;0
13.5;1;blinky;;Status: 1, sigma: 0.5
14;1;blinky;out;1
14;1;blinky;;Status: 0, sigma: 0.5
14.5;1;blinky;out;0
14.5;1;blinky;;Status: 1, sigma: 0.5
15;1;blinky;out;1
15;1;blinky;;Status: 0, sigma: 0.5
15.5;1;blinky;out;0
15.5;1;blinky;;Status: 1, sigma: 0.5
16;1;blinky;out;1
16;1;blinky;;Status: 0, sigma: 0.5
16.5;1;blinky;out;0
16.5;1;blinky;;Status: 1, sigma: 0.5
17;1;blinky;out;1
17;1;blinky;;Status: 0, sigma: 0.5
17.5;1;blinky;out;0
17.5;1;blinky;;Status: 1, sigma: 0.5
18;1;blinky;out;1
18;1;blinky;;Status: 0, sigma: 0.5
18.4446;1;blinky;;Status: 0, sigma: 0.5
18.4446;2;generator;out;0
18.4446;2;generator;;Status: 0
18.9446;1;blinky;out;0
18.9446;1;blinky;;Status: 1, sigma: 0.5
19.4446;1;blinky;out;1
19.4446;1;blinky;;Status: 0, sigma: 0.5
19.9446;1;blinky;out;0
19.9446;1;blinky;;Status: 1, sigma: 0.5
20.4446;1;blinky;out;1
20.4446;1;blinky;;Status: 0, sigma: 0.5
20.9446;1;blinky;out;0
20.9446;1;blinky;;Status: 1, sigma: 0.5
21.4446;1;blinky;out;1
21.4446;1;blinky;;Status: 0, sigma: 0.5
21.9446;1;blinky;out;0
21.9446;1;blinky;;Status: 1, sigma: 0.5
22.4446;1;blinky;out;1
22.4446;1;blinky;;Status: 0, sigma: 0.5
22.9446;1;blinky;out;0
22.9446;1;blinky;;Status: 1, sigma: 0.5
23.4446;1;blinky;out;1
23.4446;1;blinky;;Status: 0, sigma: 0.5
23.9446;1;blinky;out;0
23.9446;1;blinky;;Status: 1, sigma: 0.5
24.4446;1;blinky;out;1
24.4446;1;blinky;;Status: 0, sigma: 0.5
24.9446;1;blinky;out;0
24.9446;1;blinky;;Status: 1, sigma: 0.5
25.4446;1;blinky;out;1
25.4446;1;blinky;;Status: 0, sigma: 0.5
25.9446;1;blinky;out;0
25.9446;1;blinky;;Status: 1, sigma: 0.5
26.4446;1;blinky;out;1
